epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,experiment
39,624.178,0.80997,0.47982,1.06505,0.98651,0.98908,0.99156,0.79018,0.79905,0.31709,1.02987,0.000394079,0.000394079,0.000394079,Baseline
40,640.571,0.79189,0.46898,1.05704,0.99221,0.99309,0.99162,0.78336,0.81907,0.31684,1.0506,0.000390608,0.000390608,0.000390608,Baseline
41,656.679,0.79207,0.46814,1.05985,0.98927,0.98734,0.9884,0.78845,0.80651,0.31274,1.05351,0.000387136,0.000387136,0.000387136,Baseline
42,673.077,0.7931,0.46073,1.05909,0.98531,0.98215,0.98891,0.78528,0.80043,0.31765,1.07578,0.000383664,0.000383664,0.000383664,Baseline
43,689.514,0.77872,0.45748,1.05057,0.99026,0.98893,0.99195,0.79157,0.79975,0.30777,1.03586,0.000380193,0.000380193,0.000380193,Baseline
44,705.942,0.78856,0.45364,1.05402,0.99004,0.9892,0.99219,0.7683,0.86305,0.31258,1.05252,0.000376721,0.000376721,0.000376721,Baseline
45,722.192,0.77932,0.45871,1.05131,0.99052,0.98954,0.9918,0.77917,0.8374,0.31817,1.06437,0.00037325,0.00037325,0.00037325,Baseline
46,738.637,0.77981,0.46416,1.0516,0.98674,0.98662,0.98965,0.78336,0.8134,0.31374,1.0488,0.000369778,0.000369778,0.000369778,Baseline
47,754.972,0.77236,0.45464,1.04691,0.98967,0.99076,0.99185,0.7882,0.80742,0.30321,1.04618,0.000366306,0.000366306,0.000366306,Baseline
48,771.04,0.76983,0.45108,1.04532,0.99136,0.99178,0.98936,0.7789,0.81376,0.31168,1.07936,0.000362835,0.000362835,0.000362835,Baseline
49,787.49,0.7728,0.4563,1.05044,0.99265,0.99091,0.99132,0.7821,0.80482,0.30535,1.08892,0.000359363,0.000359363,0.000359363,Baseline
50,803.742,0.76552,0.44853,1.05091,0.9928,0.99339,0.99145,0.78603,0.82211,0.30431,1.06626,0.000355892,0.000355892,0.000355892,Baseline
51,819.571,0.75975,0.44493,1.05093,0.99321,0.99331,0.99018,0.78381,0.8065,0.30273,1.09416,0.00035242,0.00035242,0.00035242,Baseline
52,835.868,0.7557,0.44366,1.04324,0.98612,0.98644,0.98689,0.77572,0.80782,0.30604,1.09099,0.000348948,0.000348948,0.000348948,Baseline
53,852.372,0.75779,0.43937,1.05153,0.99153,0.99023,0.99061,0.78506,0.8157,0.3054,1.07682,0.000345477,0.000345477,0.000345477,Baseline
54,868.624,0.74537,0.43279,1.04087,0.99002,0.99117,0.99138,0.78629,0.81084,0.29949,1.07336,0.000342005,0.000342005,0.000342005,Baseline
