Experiment,Precision,Recall,mAP50,mAP50-95,FPS,Delta_mAP50,Delta_mAP50-95,Delta_FPS,Init,FocalLossType,FocalGamma,FocalAlpha
Baseline,0.9664624865148256,0.9069620448648511,0.9470573822861349,0.7445151951690893,144.91245410795372,0.0,0.0,0.0,,,,
Baseline+CBAM,0.9467219159472627,0.8602069626112,0.9295299776017811,0.7231433753827992,148.41810904321557,-0.017527404684353765,-0.021371819786290103,3.5056549352618447,,,,
Baseline+CBAM+BiFPN,0.9185798774117483,0.8667473342643939,0.9232126897862611,0.7135465634323649,167.93809436219743,-0.023844692499873754,-0.030968631736724372,23.02564025424371,,,,
Baseline+CBAM+BiFPN+Focal,0.500326644413567,0.6829128724562477,0.6159316740850932,0.47776349929443285,95.43313391122264,-0.3311257082010417,-0.2667516958746564,-49.47932019673108,,,,
FullModel,0.4332395329075646,0.6544070832726067,0.5288492776150813,0.4059696688870519,60.292087359568974,-0.4182081046710536,-0.3385455262820374,-84.62036674838475,,,,
